id,year,month,value,metric,excel_row,raw_label,subcontractor,subcontractor_id
1,2019,4,14.527999999999999,achieved_manhours,64,Achieved Mhrs,Meindo,1
2,2019,5,16.083,achieved_manhours,64,Achieved Mhrs,Meindo,1
3,2019,6,24.561,achieved_manhours,64,Achieved Mhrs,Meindo,1
4,2019,7,7.161,achieved_manhours,64,Achieved Mhrs,Meindo,1
5,2019,8,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
6,2019,9,2.545,achieved_manhours,64,Achieved Mhrs,Meindo,1
7,2019,10,5.9799999999999995,achieved_manhours,64,Achieved Mhrs,Meindo,1
8,2019,11,39.89,achieved_manhours,64,Achieved Mhrs,Meindo,1
9,2019,12,1186.75,achieved_manhours,64,Achieved Mhrs,Meindo,1
10,2020,1,86.4,achieved_manhours,64,Achieved Mhrs,Meindo,1
11,2020,2,144.642,achieved_manhours,64,Achieved Mhrs,Meindo,1
12,2020,3,6835.677000000001,achieved_manhours,64,Achieved Mhrs,Meindo,1
13,2020,4,0.144,achieved_manhours,64,Achieved Mhrs,Meindo,1
14,2020,5,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
15,2020,6,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
16,2020,7,1197.044,achieved_manhours,64,Achieved Mhrs,Meindo,1
17,2020,8,4652.831,achieved_manhours,64,Achieved Mhrs,Meindo,1
18,2020,9,1681.217,achieved_manhours,64,Achieved Mhrs,Meindo,1
19,2020,10,131.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
20,2020,11,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
21,2020,12,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
22,2021,1,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
23,2021,2,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
24,2021,3,15949.584,achieved_manhours,64,Achieved Mhrs,Meindo,1
25,2021,4,397.789,achieved_manhours,64,Achieved Mhrs,Meindo,1
26,2021,5,12.019,achieved_manhours,64,Achieved Mhrs,Meindo,1
27,2021,6,297.56100000000004,achieved_manhours,64,Achieved Mhrs,Meindo,1
28,2021,7,163.235,achieved_manhours,64,Achieved Mhrs,Meindo,1
29,2021,8,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
30,2021,9,492.429,achieved_manhours,64,Achieved Mhrs,Meindo,1
31,2021,10,156.345,achieved_manhours,64,Achieved Mhrs,Meindo,1
32,2021,11,3071.6440000000002,achieved_manhours,64,Achieved Mhrs,Meindo,1
33,2021,12,95.309,achieved_manhours,64,Achieved Mhrs,Meindo,1
34,2022,1,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
35,2022,2,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
36,2022,3,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
37,2022,4,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
38,2022,5,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
39,2022,6,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
40,2022,7,16.366,achieved_manhours,64,Achieved Mhrs,Meindo,1
41,2022,8,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
42,2022,9,17.279000000000003,achieved_manhours,64,Achieved Mhrs,Meindo,1
43,2022,10,2.568,achieved_manhours,64,Achieved Mhrs,Meindo,1
44,2022,11,20.919,achieved_manhours,64,Achieved Mhrs,Meindo,1
45,2022,12,79.08,achieved_manhours,64,Achieved Mhrs,Meindo,1
46,2023,1,1.524,achieved_manhours,64,Achieved Mhrs,Meindo,1
47,2023,2,0.289,achieved_manhours,64,Achieved Mhrs,Meindo,1
48,2023,3,2.598,achieved_manhours,64,Achieved Mhrs,Meindo,1
49,2023,4,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
50,2023,5,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
51,2023,6,0.0,achieved_manhours,64,Achieved Mhrs,Meindo,1
52,2020,10,0.73952044,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
53,2020,11,1.21140245,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
54,2020,12,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
55,2021,1,0.23732216,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
56,2021,2,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
57,2021,3,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
58,2021,4,0.60651439,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
59,2021,5,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
60,2021,6,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
61,2021,7,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
62,2021,8,2.6232443899999995,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
63,2021,9,0.20468129999999998,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
64,2021,10,0.21957769,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
65,2021,11,0.44227278000000003,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
66,2021,12,0.1758357,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
67,2022,1,1.53848377,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
68,2022,2,3.03423659,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
69,2022,3,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
70,2022,4,0.86559164,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
71,2022,5,0.8816907700000001,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
72,2022,6,1.21383213,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
73,2022,7,0.79724586,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
74,2022,8,1.0382989,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
75,2022,9,1.9807161400000002,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
76,2022,10,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
77,2022,11,0.40263297,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
78,2022,12,0.30864052000000003,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
79,2023,1,0.52458171,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
80,2023,2,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
81,2023,3,0.15793393,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
82,2023,4,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
83,2023,5,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
84,2023,6,0.0,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
85,2023,7,0.69625787,invoice_value_musd,65,Invoice Value (MUSD),Meindo,1
86,2020,9,0.23677766190482835,actual_vowd_musd,66,Actual/VOWD,Meindo,1
87,2020,10,0.1102020260134768,actual_vowd_musd,66,Actual/VOWD,Meindo,1
88,2020,11,0.2844887138669895,actual_vowd_musd,66,Actual/VOWD,Meindo,1
89,2020,12,0.22252336400517275,actual_vowd_musd,66,Actual/VOWD,Meindo,1
90,2021,1,0.0,actual_vowd_musd,66,Actual/VOWD,Meindo,1
91,2021,2,0.0,actual_vowd_musd,66,Actual/VOWD,Meindo,1
92,2021,3,0.0,actual_vowd_musd,66,Actual/VOWD,Meindo,1
93,2021,4,0.41571940266725216,actual_vowd_musd,66,Actual/VOWD,Meindo,1
94,2021,5,0.8469115365388563,actual_vowd_musd,66,Actual/VOWD,Meindo,1
95,2021,6,0.7215850749933843,actual_vowd_musd,66,Actual/VOWD,Meindo,1
96,2021,7,0.686225637918162,actual_vowd_musd,66,Actual/VOWD,Meindo,1
97,2021,8,0.0,actual_vowd_musd,66,Actual/VOWD,Meindo,1
98,2021,9,0.14569759678759178,actual_vowd_musd,66,Actual/VOWD,Meindo,1
99,2021,10,0.1884512735934231,actual_vowd_musd,66,Actual/VOWD,Meindo,1
100,2021,11,0.3603850847665711,actual_vowd_musd,66,Actual/VOWD,Meindo,1
101,2021,12,0.1394167730073976,actual_vowd_musd,66,Actual/VOWD,Meindo,1
102,2022,1,1.110022665513074,actual_vowd_musd,66,Actual/VOWD,Meindo,1
103,2022,2,2.7168245061478067,actual_vowd_musd,66,Actual/VOWD,Meindo,1
104,2022,3,0.7120525797978451,actual_vowd_musd,66,Actual/VOWD,Meindo,1
105,2022,4,0.6124718413781609,actual_vowd_musd,66,Actual/VOWD,Meindo,1
106,2022,5,0.9961222059146712,actual_vowd_musd,66,Actual/VOWD,Meindo,1
107,2022,6,2.3067301240651883,actual_vowd_musd,66,Actual/VOWD,Meindo,1
108,2022,7,0.8800994600359661,actual_vowd_musd,66,Actual/VOWD,Meindo,1
109,2022,8,0.708769432318096,actual_vowd_musd,66,Actual/VOWD,Meindo,1
110,2022,9,0.8762646557079796,actual_vowd_musd,66,Actual/VOWD,Meindo,1
111,2022,10,0.30695284511762666,actual_vowd_musd,66,Actual/VOWD,Meindo,1
112,2022,11,0.22441533540694525,actual_vowd_musd,66,Actual/VOWD,Meindo,1
113,2022,12,0.8363661269431626,actual_vowd_musd,66,Actual/VOWD,Meindo,1
114,2023,1,0.302767988877977,actual_vowd_musd,66,Actual/VOWD,Meindo,1
