year,month,monthly_amount_musd,cost_type
2019,5,15.506368710924697,FGRS_RCE
2019,6,33.998269549529596,FGRS_RCE
2019,7,54.46996354493802,FGRS_RCE
2019,8,76.81603387847593,FGRS_RCE
2019,9,100.37088134442547,FGRS_RCE
2019,10,124.38291579075909,FGRS_RCE
2019,11,145.52464375118322,FGRS_RCE
2019,12,167.15504428709565,FGRS_RCE
2020,1,186.66303471608546,FGRS_RCE
2020,2,205.16834312239953,FGRS_RCE
2020,3,221.85662828391355,FGRS_RCE
2020,4,234.17667154720687,FGRS_RCE
2020,5,242.23510581721803,FGRS_RCE
2020,6,250.99052898871224,FGRS_RCE
2020,7,257.51282383502235,FGRS_RCE
2020,8,262.79302956954797,FGRS_RCE
2020,9,271.7151113686509,FGRS_RCE
2020,10,276.03129563016876,FGRS_RCE
2020,11,282.73409396635515,FGRS_RCE
2020,12,287.62851550828225,FGRS_RCE
2021,1,291.32343786826874,FGRS_RCE
2021,2,295.201639537647,FGRS_RCE
2021,3,300.104263004324,FGRS_RCE
2021,4,304.2904062790779,FGRS_RCE
2021,5,309.0378988597662,FGRS_RCE
2021,6,312.9942337681565,FGRS_RCE
2021,7,317.0332903558914,FGRS_RCE
2021,8,320.98835810434224,FGRS_RCE
2021,9,324.78431815491933,FGRS_RCE
2021,10,328.10750795858206,FGRS_RCE
2021,11,333.0149832874358,FGRS_RCE
2021,12,337.18496917320977,FGRS_RCE
2022,1,341.63934777531415,FGRS_RCE
2022,2,346.5464743805832,FGRS_RCE
2022,3,351.0386017126885,FGRS_RCE
2022,4,355.4068493364211,FGRS_RCE
2022,5,360.5549475744311,FGRS_RCE
2022,6,364.568207473572,FGRS_RCE
2022,7,368.5869538766315,FGRS_RCE
2022,8,372.35283910914865,FGRS_RCE
2022,9,377.3959560288125,FGRS_RCE
2022,10,381.58535217368023,FGRS_RCE
2022,11,385.90584351441277,FGRS_RCE
2022,12,390.27032222411555,FGRS_RCE
2023,1,394.7417203915469,FGRS_RCE
2023,2,399.3177738515208,FGRS_RCE
2023,3,403.6695214303104,FGRS_RCE
2023,4,406.5955619529794,FGRS_RCE
2023,5,410.77168141232534,FGRS_RCE
2023,6,414.74930825001593,FGRS_RCE
2023,7,418.4999094881841,FGRS_RCE
2023,8,422.241251623047,FGRS_RCE
2023,9,425.6643304868048,FGRS_RCE
2023,10,429.4673302385077,FGRS_RCE
2023,11,434.29906561051666,FGRS_RCE
2023,12,438.90364474669076,FGRS_RCE
