year,month,monthly_amount_musd,cost_type,cumulative_amount_musd
2019,5,15.506368710924697,LOGI_RCE,15.506368710924697
2019,6,18.4919008386049,LOGI_RCE,33.998269549529596
2019,7,20.471693995408422,LOGI_RCE,54.46996354493802
2019,8,22.346070333537916,LOGI_RCE,76.81603387847593
2019,9,23.554847465949535,LOGI_RCE,100.37088134442547
2019,10,24.012034446333615,LOGI_RCE,124.38291579075909
2019,11,21.141727960424134,LOGI_RCE,145.52464375118322
2019,12,21.63040053591243,LOGI_RCE,167.15504428709565
2020,1,19.507990428989814,LOGI_RCE,186.66303471608546
2020,2,18.50530840631407,LOGI_RCE,205.16834312239953
2020,3,16.688285161514017,LOGI_RCE,221.85662828391355
2020,4,12.320043263293314,LOGI_RCE,234.17667154720687
2020,5,8.058434270011162,LOGI_RCE,242.23510581721803
2020,6,8.755423171494215,LOGI_RCE,250.99052898871224
2020,7,6.522294846310103,LOGI_RCE,257.51282383502235
2020,8,5.280205734525623,LOGI_RCE,262.79302956954797
2020,9,8.922081799102955,LOGI_RCE,271.7151113686509
2020,10,4.316184261517833,LOGI_RCE,276.03129563016876
2020,11,6.70279833618639,LOGI_RCE,282.73409396635515
2020,12,4.894421541927102,LOGI_RCE,287.62851550828225
2021,1,3.694922359986492,LOGI_RCE,291.32343786826874
2021,2,3.8782016693782566,LOGI_RCE,295.201639537647
2021,3,4.902623466677028,LOGI_RCE,300.104263004324
2021,4,4.186143274753874,LOGI_RCE,304.2904062790779
2021,5,4.747492580688288,LOGI_RCE,309.0378988597662
2021,6,3.9563349083903177,LOGI_RCE,312.9942337681565
2021,7,4.039056587734876,LOGI_RCE,317.0332903558914
2021,8,3.9550677484508583,LOGI_RCE,320.98835810434224
2021,9,3.7959600505770936,LOGI_RCE,324.78431815491933
2021,10,3.3231898036627285,LOGI_RCE,328.10750795858206
2021,11,4.907475328853764,LOGI_RCE,333.0149832874358
2021,12,4.16998588577394,LOGI_RCE,337.18496917320977
2022,1,4.454378602104384,LOGI_RCE,341.63934777531415
2022,2,4.90712660526907,LOGI_RCE,346.5464743805832
2022,3,4.4921273321052695,LOGI_RCE,351.0386017126885
2022,4,4.3682476237326,LOGI_RCE,355.4068493364211
2022,5,5.148098238009993,LOGI_RCE,360.5549475744311
2022,6,4.013259899140905,LOGI_RCE,364.568207473572
2022,7,4.018746403059538,LOGI_RCE,368.5869538766315
2022,8,3.765885232517121,LOGI_RCE,372.35283910914865
2022,9,5.043116919663873,LOGI_RCE,377.3959560288125
2022,10,4.189396144867715,LOGI_RCE,381.58535217368023
2022,11,4.320491340732531,LOGI_RCE,385.90584351441277
2022,12,4.36447870970278,LOGI_RCE,390.27032222411555
2023,1,4.471398167431346,LOGI_RCE,394.7417203915469
2023,2,4.576053459973934,LOGI_RCE,399.3177738515208
2023,3,4.3517475787895705,LOGI_RCE,403.6695214303104
2023,4,2.926040522668984,LOGI_RCE,406.5955619529794
2023,5,4.176119459345955,LOGI_RCE,410.77168141232534
2023,6,3.977626837690593,LOGI_RCE,414.74930825001593
2023,7,3.7506012381681444,LOGI_RCE,418.4999094881841
2023,8,3.7413421348629186,LOGI_RCE,422.241251623047
2023,9,3.4230788637577803,LOGI_RCE,425.6643304868048
2023,10,3.8029997517029415,LOGI_RCE,429.4673302385077
2023,11,4.83173537200895,LOGI_RCE,434.29906561051666
2023,12,4.604579136174095,LOGI_RCE,438.90364474669076
